video_id,average_percentage_viewed,video_type
Cb3mbo0iMkM,70.25,Lecture
IXug_xDPxdQ,73.26,Lecture
dJrGo6rb5cM,66.1,Lecture
zTA0K05WPeU,76.13,Lecture
