dataset_tag,video_id,duration_min,speaking_words_count,avg_speaking_speed_wpm,scenes_count,avg_scene_change_per_min,average_percentage_viewed
newcastle_mech1750_lecture_level1_agregg_2025,LVgXCA5pkns,6.08,1228,201.96,30,4.93,73.08
newcastle_mech1750_lecture_level1_agregg_2025,cs1k_62dA4k,3.05,610,199.8,34,11.14,81.04
newcastle_mech1750_lecture_level1_agregg_2025,Bi9V5Yx8wbk,2.31,481,208.01,14,6.05,81.77
newcastle_mech1750_lecture_level1_agregg_2025,yytmPfR8Hr8,1.57,297,188.65,22,13.97,77.99
newcastle_mech1750_lecture_level1_agregg_2025,cpTQnXZF-Po,9.63,1855,192.67,2,0.21,65.37
newcastle_mech1750_lecture_level1_agregg_2025,6Y24GJBtoi0,8.18,1678,205.15,13,1.59,66.57
newcastle_mech1750_lecture_level1_agregg_2025,7eRRQHbVccY,11.54,1983,173.37,1,0.09,59.75
newcastle_mech1750_lecture_level1_agregg_2025,a_HtseEewXY,7.04,1375,195.32,7,0.99,74.88
newcastle_mech1750_lecture_level1_agregg_2025,SfWWA1DhifM,6.16,1194,193.97,22,3.57,72.81
newcastle_mech1750_lecture_level1_agregg_2025,PnBtwiUWXtk,6.3,1232,195.55,4,0.63,76.41
newcastle_mech1750_lecture_level1_agregg_2025,Si9oIxskrtQ,6.98,1469,210.5,14,2.01,64.0
newcastle_mech1750_lecture_level1_agregg_2025,SKoHssz5FXA,2.64,543,206.05,8,3.04,49.32
newcastle_mech1750_lecture_level1_agregg_2025,PN-s3VTj85M,13.94,2575,184.77,8,0.57,50.89
newcastle_mech1750_lecture_level1_agregg_2025,giahfgYn6CQ,5.32,1090,204.77,16,3.01,73.91
newcastle_mech1750_lecture_level1_agregg_2025,49cMEc-fszo,6.57,1483,225.75,3,0.46,62.54
newcastle_mech1750_lecture_level1_agregg_2025,ePbaeTmXi9I,4.9,989,201.8,3,0.61,75.57
newcastle_mech1750_lecture_level1_agregg_2025,1ScOB8qlH5U,4.19,861,205.59,7,1.67,77.66
newcastle_mech1750_lecture_level1_agregg_2025,SqXqqFs8o6Y,3.43,690,201.29,8,2.33,77.32
newcastle_mech1750_lecture_level1_agregg_2025,stNOqGDYej4,3.03,648,213.53,35,11.53,79.17
newcastle_mech1750_lecture_level1_agregg_2025,m8vyaqOHSOs,2.33,509,218.08,12,5.14,81.76
newcastle_mech1750_lecture_level1_agregg_2025,iiAUwHWYNPw,1.13,264,233.97,1,0.89,51.47
newcastle_mech1750_lecture_level1_agregg_2025,b_OFklZ5gzI,2.91,576,198.01,4,1.38,54.09
