dataset_tag,video_id,average_percentage_viewed
monash_trc3200_lecture_year3_mtolba_2025,Cb3mbo0iMkM,70.25
monash_trc3200_lecture_year3_mtolba_2025,IXug_xDPxdQ,73.26
monash_trc3200_lecture_year3_mtolba_2025,dJrGo6rb5cM,66.1
monash_trc3200_lecture_year3_mtolba_2025,zTA0K05WPeU,76.13
monash_trc3200_lecture_year3_mtolba_2025,tOK-3gow_fA,72.28
monash_trc3200_lecture_year3_mtolba_2025,sEE33_YIgys,73.65
monash_trc3200_lecture_year3_mtolba_2025,xNi7e0uXBzY,76.47
monash_trc3200_lecture_year3_mtolba_2025,EPrZOaESIXI,75.31
monash_trc3200_lecture_year3_mtolba_2025,JU7xZh_1kMA,77.46
