dataset_tag,video_id,duration_min,speaking_words_count,avg_speaking_speed_wpm,scenes_count,avg_scene_change_per_min
newcastle_engg2440_lecture_level2_agregg_2025,Cb3mbo0iMkM,3.25,688,211.95,23,7.09
newcastle_engg2440_lecture_level2_agregg_2025,IXug_xDPxdQ,3.12,709,227.18,20,6.41
newcastle_engg2440_lecture_level2_agregg_2025,dJrGo6rb5cM,3.0,654,218.15,7,2.33
newcastle_engg2440_lecture_level2_agregg_2025,zTA0K05WPeU,4.48,1000,223.38,13,2.9
newcastle_engg2440_lecture_level2_agregg_2025,tOK-3gow_fA,4.03,808,200.69,14,3.48
newcastle_engg2440_lecture_level2_agregg_2025,sEE33_YIgys,4.21,869,206.45,11,2.61
newcastle_engg2440_lecture_level2_agregg_2025,xNi7e0uXBzY,2.0,403,201.08,1,0.5
newcastle_engg2440_lecture_level2_agregg_2025,EPrZOaESIXI,3.31,654,197.45,5,1.51
newcastle_engg2440_lecture_level2_agregg_2025,JU7xZh_1kMA,2.9,636,219.05,1,0.34
