dataset_tag,video_id,duration_min,speaking_words_count,avg_speaking_speed_wpm,scenes_count,avg_scene_change_per_min
newcastle_engg2440_lecture_level2_agregg_2025,X95pgcvB-eI,2.28,451,197.85,1,0.44
newcastle_engg2440_lecture_level2_agregg_2025,d3T_bD5_c7U,2.28,450,197.56,3,1.32
newcastle_engg2440_lecture_level2_agregg_2025,P6_iWVh4rws,3.47,709,204.09,3,0.86
newcastle_engg2440_lecture_level2_agregg_2025,p7-ZduHd9pw,6.97,1392,199.85,2,0.29
newcastle_engg2440_lecture_level2_agregg_2025,BZhE-wsrT_M,1.95,416,213.01,0,0.0
newcastle_engg2440_lecture_level2_agregg_2025,gHjxPhhRIJk,2.63,517,196.34,1,0.38
newcastle_engg2440_lecture_level2_agregg_2025,-Rj6siMAaKo,5.3,1075,202.69,7,1.32
newcastle_engg2440_lecture_level2_agregg_2025,ox2zlqA2wQk,4.41,939,213.06,5,1.13
newcastle_engg2440_lecture_level2_agregg_2025,FkJg-PdAVZU,4.63,883,190.84,10,2.16
newcastle_engg2440_lecture_level2_agregg_2025,PWkr63T-gCY,3.21,652,203.05,11,3.43
newcastle_engg2440_lecture_level2_agregg_2025,-2lWMIpLLOY,4.39,884,201.44,5,1.14
newcastle_engg2440_lecture_level2_agregg_2025,jYC0ZWXZPOU,3.77,831,220.24,5,1.33
newcastle_engg2440_lecture_level2_agregg_2025,d-dzoc3j8Xk,2.73,576,211.04,8,2.93
newcastle_engg2440_lecture_level2_agregg_2025,EPrZOaESIXI,3.31,656,198.06,5,1.51
newcastle_engg2440_lecture_level2_agregg_2025,xNi7e0uXBzY,2.0,402,200.58,1,0.5
newcastle_engg2440_lecture_level2_agregg_2025,tOK-3gow_fA,4.03,808,200.69,14,3.48
newcastle_engg2440_lecture_level2_agregg_2025,zTA0K05WPeU,4.48,1000,223.38,13,2.9
newcastle_engg2440_lecture_level2_agregg_2025,dJrGo6rb5cM,3.0,653,217.81,7,2.33
newcastle_engg2440_lecture_level2_agregg_2025,IXug_xDPxdQ,3.12,709,227.18,20,6.41
newcastle_engg2440_lecture_level2_agregg_2025,YMq_P2jE684,3.01,603,200.65,1,0.33
